Model,Parameters,Accuracy,PrecisionRise,PrecisionFall,PrecisionStay,RecallRise,RecalFall,RecalStay,F1Rise,F1Fall,F1Stay
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 8 min_samples_split: 2 min_samples_leaf: 5,0.3820224719101123,0.3576707095672327,0.3847953602386057,0.3962975109272905,0.32456140350877194,0.29553571428571435,0.5069230769230769,0.3400937586620408,0.33404305359134,0.4447381080546901
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 8 min_samples_split: 3 min_samples_leaf: 1,0.3963483146067415,0.3695813250601045,0.3973385131373936,0.4131430248032776,0.3385964912280702,0.30625,0.5246153846153845,0.35330600837868464,0.3456798618675841,0.4621537858247083
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 8 min_samples_split: 3 min_samples_leaf: 2,0.3898876404494381,0.3625491038304523,0.4033706655046496,0.40054053104403575,0.33421052631578946,0.3071428571428572,0.51,0.34756316805137616,0.3485734101653527,0.4485027993384355
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 8 min_samples_split: 3 min_samples_leaf: 3,0.39578651685393257,0.3696250778912313,0.4057855543116593,0.40816827530476907,0.34385964912280703,0.3169642857142857,0.5092307692307692,0.35610483278121585,0.3555298520065929,0.4530172994331349
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 8 min_samples_split: 3 min_samples_leaf: 4,0.3896067415730337,0.3736819035646696,0.3878788096263154,0.4009279414029742,0.33859649122807023,0.3116071428571429,0.5015384615384615,0.35480044340349626,0.34531780311481153,0.4454259431070625
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 8 min_samples_split: 3 min_samples_leaf: 5,0.397752808988764,0.3761473703598508,0.4112521076508788,0.4045552255087324,0.3421052631578948,0.3125000000000001,0.52,0.35809019077211424,0.3546646757141619,0.4548652905934842
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 8 min_samples_split: 4 min_samples_leaf: 1,0.3926966292134832,0.3665899523777224,0.40064614945376,0.4053978622472775,0.33859649122807023,0.3053571428571428,0.5153846153846153,0.3518423162747125,0.34644987852968345,0.4537564179419666
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 8 min_samples_split: 4 min_samples_leaf: 2,0.39466292134831454,0.3765683921186989,0.4047028675213812,0.4011327674805556,0.3456140350877194,0.3169642857142857,0.5046153846153846,0.36036181451417904,0.3550949821995421,0.4467555186373353
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 8 min_samples_split: 4 min_samples_leaf: 3,0.3907303370786517,0.36299885111945895,0.3937546711820096,0.40673510983756334,0.32982456140350874,0.3035714285714286,0.5192307692307692,0.3455293229570515,0.3425825495063648,0.4560847767087202
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 8 min_samples_split: 4 min_samples_leaf: 4,0.39101123595505616,0.372321842851905,0.3892195644540681,0.4042257599827906,0.3438596491228071,0.29821428571428577,0.5123076923076922,0.3574255049613303,0.33734705741244364,0.4517429851080334
