Model,Parameters,Accuracy,PrecisionRise,PrecisionFall,RecallRise,RecalFall,F1Rise,F1Fall
Random Forest,window_size: 0  max_depth: 8 min_samples_split: 4 min_samples_leaf: 5,0.56917663617171,0.5695236091067603,0.5694102843103809,0.6534748543453879,0.48065410068165937,0.608354830089952,0.5208530902616589
Random Forest,window_size: 0  max_depth: 8 min_samples_split: 5 min_samples_leaf: 1,0.5629838142153413,0.5632104606899337,0.5628008036861629,0.6469627990802425,0.4752064527520994,0.6020973878011564,0.5152022203047627
Random Forest,window_size: 0  max_depth: 8 min_samples_split: 5 min_samples_leaf: 2,0.5579169598874032,0.5626644103259923,0.5514318700567052,0.6440168886492161,0.46622047722784404,0.6004389959823152,0.5050070593836256
Random Forest,window_size: 0  max_depth: 8 min_samples_split: 5 min_samples_leaf: 3,0.5679099225897255,0.5656496996718767,0.5723470057329191,0.6696123110166203,0.46257219196510285,0.6127371995011508,0.5108249126961479
Random Forest,window_size: 0  max_depth: 8 min_samples_split: 5 min_samples_leaf: 4,0.5660802251935257,0.5720555326433743,0.5586596975736065,0.6325015134773986,0.4956841181913926,0.6004579966124559,0.5249017969944523
Random Forest,window_size: 0  max_depth: 8 min_samples_split: 5 min_samples_leaf: 5,0.5728360309641098,0.5679629775242319,0.5817679703100488,0.6626993090274003,0.48146098910746915,0.6110851246255222,0.5260227486789881
Random Forest,window_size: 0  max_depth: 9 min_samples_split: 2 min_samples_leaf: 1,0.5693173821252638,0.5643632797157722,0.5767604900322312,0.6592728226139414,0.4769175463708605,0.6080088252938244,0.5218825939800559
Random Forest,window_size: 0  max_depth: 9 min_samples_split: 2 min_samples_leaf: 2,0.560591133004926,0.5561355272465318,0.5671167407324087,0.6528480428017573,0.4660842608732983,0.600547283316047,0.5115329199142054
Random Forest,window_size: 0  max_depth: 9 min_samples_split: 2 min_samples_leaf: 3,0.5593244194229416,0.5625141102751195,0.558205513074876,0.6332385514577232,0.48436872631635597,0.5945018358716896,0.5167889666902512
Random Forest,window_size: 0  max_depth: 9 min_samples_split: 2 min_samples_leaf: 4,0.5614356087262491,0.5587002953987021,0.5655438988700556,0.6560670084706018,0.4635350314498236,0.6033530391392332,0.5093278389443787
