Model,Parameters,Accuracy,PrecisionRise,PrecisionFall,RecallRise,RecalFall,F1Rise,F1Fall
Custom Model, max_depth: 14 min_samples_split: 4 min_samples_leaf: 1,0.5377579737335836,0.5366344603944789,0.5393781455803462,0.6166356877323419,0.45738636363636365,0.5737846485396834,0.4948826428642439
Custom Model, max_depth: 14 min_samples_split: 4 min_samples_leaf: 2,0.5276735459662288,0.528688545186669,0.5264670861714456,0.5901486988847584,0.4640151515151515,0.5576195348918109,0.49311096043622543
Custom Model, max_depth: 14 min_samples_split: 4 min_samples_leaf: 3,0.5401031894934334,0.5388625663839467,0.5418855848351907,0.6147769516728625,0.4640151515151515,0.5742305827139105,0.4997950291148627
Custom Model, max_depth: 14 min_samples_split: 4 min_samples_leaf: 4,0.5340056285178236,0.5343223342451962,0.5336632056776722,0.5989776951672862,0.46780303030303033,0.5646637648126194,0.4983494814999634
Custom Model, max_depth: 14 min_samples_split: 4 min_samples_leaf: 5,0.5340056285178237,0.5340084104362139,0.5340210183952897,0.6064126394052044,0.4602272727272727,0.5677550102298898,0.49413866437141973
Custom Model, max_depth: 14 min_samples_split: 5 min_samples_leaf: 1,0.5466697936210131,0.5447373375427783,0.5493865532535487,0.6189591078066915,0.47301136363636365,0.5794050660236303,0.5082242306718919
Custom Model, max_depth: 14 min_samples_split: 5 min_samples_leaf: 2,0.5398686679174485,0.5391662243443361,0.5409132029041598,0.6059479553903346,0.47253787878787884,0.5704943045711859,0.5042504368762977
Custom Model, max_depth: 14 min_samples_split: 5 min_samples_leaf: 3,0.5354127579737336,0.5353161763477188,0.5356477390062999,0.6017657992565055,0.4678030303030303,0.566490916955183,0.499266775830201
Custom Model, max_depth: 14 min_samples_split: 5 min_samples_leaf: 4,0.5382270168855535,0.538077343390092,0.5384502027771697,0.6013011152416357,0.4739583333333333,0.5678824799522806,0.5040728573460741
Custom Model, max_depth: 14 min_samples_split: 5 min_samples_leaf: 5,0.5328330206378987,0.5329663667338864,0.5327624657844885,0.6031598513011153,0.46117424242424243,0.5657368131869085,0.4941436756710374
