Model,Parameters,Accuracy,PrecisionRise,PrecisionFall,RecallRise,RecalFall,F1Rise,F1Fall
"Random Forest,""window_size: 0 , max_depth: 5 ,min_samples_split: 4 ,min_samples_leaf: 1"",0.5805770584095707,0.5821972394719701,0.5794886438447117,0.6721893409689587,0.4834153102347581,0.6235090333495403,0.5264638380363955"
"Random Forest,""window_size: 0 , max_depth: 5 ,min_samples_split: 4 ,min_samples_leaf: 2"",0.5663617171006333,0.5668878059894833,0.5669084863357059,0.6515296668803299,0.477756644436484,0.6057903840875433,0.5178033757430002"
"Random Forest,""window_size: 0 , max_depth: 5 ,min_samples_split: 4 ,min_samples_leaf: 3"",0.5732582688247713,0.5782119346978452,0.5665731266165446,0.6602461397979248,0.4797409751617535,0.6162973834181205,0.5192454817201783"
"Random Forest,""window_size: 0 , max_depth: 5 ,min_samples_split: 4 ,min_samples_leaf: 4"",0.5672061928219564,0.5688404522827553,0.5664254630801085,0.6574846219047109,0.4729202764212593,0.6093683638005601,0.5145670152975039"
"Random Forest,""window_size: 0 , max_depth: 5 ,min_samples_split: 4 ,min_samples_leaf: 5"",0.5690358902181563,0.5696165197837739,0.5683487178260502,0.6776148439829404,0.453211084916457,0.6188276853477757,0.5040961010068987"
"Random Forest,""window_size: 0 , max_depth: 5 ,min_samples_split: 5 ,min_samples_leaf: 1"",0.5736805066854329,0.5653096141590306,0.5870750397515132,0.6785239303824044,0.4666520410746546,0.6165955178823649,0.519700261316151"
"Random Forest,""window_size: 0 , max_depth: 5 ,min_samples_split: 5 ,min_samples_leaf: 2"",0.5759324419422941,0.5717778784979867,0.584263723438688,0.6744184082067057,0.4745175914795531,0.6181309553176193,0.5225004406041179"
"Random Forest,""window_size: 0 , max_depth: 5 ,min_samples_split: 5 ,min_samples_leaf: 3"",0.5591836734693877,0.5566479388490437,0.5640553038065658,0.6689875620517103,0.4453937809039058,0.6073096626858148,0.4971648180094054"
"Random Forest,""window_size: 0 , max_depth: 5 ,min_samples_split: 5 ,min_samples_leaf: 4"",0.5687543983110486,0.5617767144055873,0.5800926539161277,0.6683373197290855,0.4672554428215461,0.6102067147307789,0.5172020696490645"
"Random Forest,""window_size: 0 , max_depth: 5 ,min_samples_split: 5 ,min_samples_leaf: 5"",0.5764954257565094,0.5778361648035218,0.5783630222294699,0.6657739878486209,0.4840415873046098,0.6174473535875391,0.5250420177867636"
"Random Forest,""window_size: 0 , max_depth: 6 ,min_samples_split: 2 ,min_samples_leaf: 1"",0.5700211118930332,0.5725563122838556,0.5663488163195023,0.6631293399502987,0.470518687329921,0.6144553144652706,0.5139168802489187"
"Random Forest,""window_size: 0 , max_depth: 6 ,min_samples_split: 2 ,min_samples_leaf: 2"",0.5653764954257565,0.5689156733764948,0.5608443919206418,0.6514778242829706,0.4739510320794249,0.6071747595335607,0.5133889637871734"
"Random Forest,""window_size: 0 , max_depth: 6 ,min_samples_split: 2 ,min_samples_leaf: 3"",0.5589021815622802,0.5542263642396329,0.5662337125356076,0.6533701189117271,0.4625587330220083,0.599583991751221,0.5089879439358089"
"Random Forest,""window_size: 0 , max_depth: 6 ,min_samples_split: 2 ,min_samples_leaf: 4"",0.5736805066854329,0.5663749169306971,0.5851853223966056,0.6792659371588127,0.4653552399836575,0.6175709916326448,0.5182528060378037"
"Random Forest,""window_size: 0 , max_depth: 6 ,min_samples_split: 2 ,min_samples_leaf: 5"",0.5634060520760028,0.5587099134169144,0.5706908452484801,0.654202316858609,0.4705902115690781,0.6025173367229338,0.5155614133039518"
"Random Forest,""window_size: 0 , max_depth: 6 ,min_samples_split: 3 ,min_samples_leaf: 1"",0.5777621393384941,0.5800949289060556,0.5745778397546386,0.6602424427788558,0.4899843202235802,0.6174119606630317,0.5287390697326371"
"Random Forest,""window_size: 0 , max_depth: 6 ,min_samples_split: 3 ,min_samples_leaf: 2"",0.58128078817734,0.5715814553571655,0.5957336450911768,0.6787100128244283,0.4822440899234257,0.6204466210269427,0.5328875663475517"
"Random Forest,""window_size: 0 , max_depth: 6 ,min_samples_split: 3 ,min_samples_leaf: 3"",0.5732582688247713,0.5674977928281726,0.5828923686646293,0.6756303955760241,0.4678009174365108,0.61654522368539,0.5185107151087621"
"Random Forest,""window_size: 0 , max_depth: 6 ,min_samples_split: 3 ,min_samples_leaf: 4"",0.5698803659394792,0.5721198307855305,0.5675451310538232,0.6521429265215246,0.4835097389035038,0.6092006301003277,0.5217554621118144"
"Random Forest,""window_size: 0 , max_depth: 6 ,min_samples_split: 3 ,min_samples_leaf: 5"",0.5645320197044335,0.557869901929724,0.5756585090141084,0.6645608439455477,0.463511932783046,0.6061236506832928,0.5128974627924027"
"Random Forest,""window_size: 0 , max_depth: 6 ,min_samples_split: 4 ,min_samples_leaf: 1"",0.5714285714285714,0.5629803590625768,0.5869303263316701,0.6809484833320842,0.4612584848386901,0.6155512148726526,0.5151690605158724"
"Random Forest,""window_size: 0 , max_depth: 6 ,min_samples_split: 4 ,min_samples_leaf: 2"",0.5586206896551724,0.5513561029889235,0.5719596576010365,0.6745975952843718,0.4417743099640609,0.6061827157047268,0.4975151391061735"
"Random Forest,""window_size: 0 , max_depth: 6 ,min_samples_split: 4 ,min_samples_leaf: 3"",0.5698803659394792,0.5725277968459551,0.566719256312427,0.6619899386671685,0.4718905268918953,0.6137417638817446,0.5145398275936518"
"Random Forest,""window_size: 0 , max_depth: 6 ,min_samples_split: 4 ,min_samples_leaf: 4"",0.5698803659394793,0.5661620568851935,0.5760025509132743,0.663565983239099,0.4733695208643165,0.6107564207726521,0.5193558028023599"
"Random Forest,""window_size: 0 , max_depth: 6 ,min_samples_split: 4 ,min_samples_leaf: 5"",0.5679099225897255,0.5621563274011335,0.5804580484145699,0.6733534363194301,0.461412783418836,0.611730890954234,0.5124840627744127"
"Random Forest,""window_size: 0 , max_depth: 6 ,min_samples_split: 5 ,min_samples_leaf: 1"",0.5773399014778325,0.5777149665350038,0.5776285511133394,0.6742301639466235,0.4743112674974272,0.6219153080577638,0.520305916737951"
"Random Forest,""window_size: 0 , max_depth: 6 ,min_samples_split: 5 ,min_samples_leaf: 2"",0.5645320197044335,0.5676389885720451,0.5610060025312043,0.6435803044861209,0.4816866419747387,0.6027982552639958,0.5177473407385692"
"Random Forest,""window_size: 0 , max_depth: 6 ,min_samples_split: 5 ,min_samples_leaf: 3"",0.5743842364532019,0.5692884366219297,0.5830113181824078,0.6710672166460501,0.4749559129706166,0.6156553036293209,0.5229452220540549"
"Random Forest,""window_size: 0 , max_depth: 6 ,min_samples_split: 5 ,min_samples_leaf: 4"",0.5684729064039409,0.5649588340054083,0.5736503454085515,0.655335220461547,0.4788750374302699,0.6067125815183761,0.5218550306980785"
"Random Forest,""window_size: 0 , max_depth: 6 ,min_samples_split: 5 ,min_samples_leaf: 5"",0.570161857846587,0.5637709727121513,0.5813654873668952,0.6785727757338776,0.4589597157979052,0.6155480227162138,0.5124633511569747"
"Random Forest,""window_size: 0 , max_depth: 7 ,min_samples_split: 2 ,min_samples_leaf: 1"",0.5629838142153413,0.5655929364833691,0.5602290254292106,0.6533585360941008,0.4681023995963241,0.6057372785428503,0.5090782894347468"
"Random Forest,""window_size: 0 , max_depth: 7 ,min_samples_split: 2 ,min_samples_leaf: 2"",0.570161857846587,0.5729349422061596,0.5677131384098247,0.6457991307521017,0.4907991971493077,0.6065895539893764,0.5255867025102225"
"Random Forest,""window_size: 0 , max_depth: 7 ,min_samples_split: 2 ,min_samples_leaf: 3"",0.5725545390570022,0.5765315459345312,0.5679301582684204,0.6553131983068878,0.4845263492081658,0.6130059528733232,0.5223741540916477"
"Random Forest,""window_size: 0 , max_depth: 7 ,min_samples_split: 2 ,min_samples_leaf: 4"",0.563265306122449,0.5629731137283011,0.5647351517693627,0.6409716828919505,0.4834971948904568,0.5990100142488097,0.5204030320325788"
