date;open_price_xrp;close_price_xrp;volume_xrp;market_cap_xrp
5.8.2019;0.319723;0.323564;1203381139;13872050658
4.8.2019;0.316862;0.319842;926896287;13712472285
3.8.2019;0.312506;0.316757;789419360;13580218029
2.8.2019;0.317809;0.312394;816728848;13393149204
1.8.2019;0.320734;0.317906;882867288;13629460730
31.7.2019;0.317887;0.320909;996700948;13758215467
30.7.2019;0.311090;0.318470;928714010;13653644725
29.7.2019;0.311996;0.310658;807093679;13318731525
28.7.2019;0.310631;0.312288;846655034;13376153627
27.7.2019;0.323512;0.310528;1163969614;13300742951
26.7.2019;0.314740;0.323530;1039753781;13857657307
25.7.2019;0.315859;0.314810;1086214216;13484184546
24.7.2019;0.309885;0.315947;1222619064;13532870285
23.7.2019;0.322267;0.309926;1015322888;13274967598
22.7.2019;0.331368;0.322106;1079720970;13796653786
21.7.2019;0.333682;0.331309;1045044900;14190843704
20.7.2019;0.320490;0.333209;1288327249;14272232666
19.7.2019;0.322964;0.320605;1181194676;13732383140
18.7.2019;0.310748;0.323176;1460358426;13842515320
17.7.2019;0.296762;0.310613;2478342585;13304378913
16.7.2019;0.315186;0.296726;1527503243;12630613062
15.7.2019;0.306575;0.315310;1638295919;13421671800
14.7.2019;0.332685;0.306426;1365358144;13043521742
13.7.2019;0.344704;0.332179;1076509239;14139724265
12.7.2019;0.330343;0.344118;1641965115;14647922420
11.7.2019;0.363446;0.330335;2056220396;14061255160
10.7.2019;0.394857;0.363775;2300685763;15484656712
9.7.2019;0.401645;0.394168;1413299253;16778394835
8.7.2019;0.397261;0.401533;1253488309;17091878214
7.7.2019;0.389503;0.397047;1210813690;16900947895
6.7.2019;0.379139;0.389055;1521409875;16560748581
5.7.2019;0.388729;0.378964;1286860595;16131219596
4.7.2019;0.408316;0.388719;1385563454;16546425930
3.7.2019;0.400178;0.408532;1436716899;17389810699
2.7.2019;0.406414;0.400204;1676193189;17035325314
1.7.2019;0.395900;0.406862;1783852226;17318727257
30.6.2019;0.429180;0.396411;1570726856;16873846275
29.6.2019;0.427877;0.429378;1775096156;18277144071
28.6.2019;0.409027;0.427315;1974643651;18189360758
27.6.2019;0.467701;0.408754;3038678719;17399283014
26.6.2019;0.468444;0.467451;3581004665;19897799407
25.6.2019;0.470534;0.468229;1958460938;19930916236
24.6.2019;0.468564;0.470088;1641873591;20010034989
23.6.2019;0.474858;0.468291;2114801632;19903281582
22.6.2019;0.443629;0.474764;3641363867;20178408968
21.6.2019;0.429813;0.443188;1546835769;18836369764
20.6.2019;0.436565;0.429823;1296288449;18268310634
19.6.2019;0.428757;0.436817;1150637870;18565554265
18.6.2019;0.447815;0.428761;1832910177;18223194815
17.6.2019;0.427161;0.448080;1979014573;19044270772
16.6.2019;0.410535;0.427516;1981370152;18170284661
15.6.2019;0.405759;0.410419;1344741903;17443622689
14.6.2019;0.400839;0.405921;1262403987;17252452725
13.6.2019;0.401696;0.400887;1209093571;17038475489
12.6.2019;0.394351;0.401760;1221700743;17075593029
11.6.2019;0.400674;0.394261;1186383476;16653166702
10.6.2019;0.388186;0.400427;1477656039;16913630345
9.6.2019;0.412689;0.388266;1575002838;16399949893
8.6.2019;0.423261;0.412411;1244578044;17419805679
7.6.2019;0.419548;0.423130;1659632775;17872581318
6.6.2019;0.402333;0.419540;2014934546;17720913432
5.6.2019;0.400272;0.402732;1768216479;16988033342
4.6.2019;0.425415;0.400667;2537240038;16900917006
3.6.2019;0.444674;0.425764;2544969218;17959558304
2.6.2019;0.430953;0.444785;1595105832;18761924960
1.6.2019;0.438711;0.430583;1740720642;18162849086
31.5.2019;0.422332;0.438574;2225730799;18499916713
30.5.2019;0.443786;0.422395;3527827315;17789891580
29.5.2019;0.446747;0.443713;2538438749;18687708968
28.5.2019;0.433781;0.446549;3193961851;18807161864
27.5.2019;0.408397;0.434168;2736949591;18285708015
26.5.2019;0.387129;0.408413;1848938650;17200982210
25.5.2019;0.384804;0.387040;1363572843;16300831593
24.5.2019;0.381313;0.384541;1872678192;16195609303
23.5.2019;0.376736;0.381204;1595345471;16055052179
22.5.2019;0.397493;0.376637;2028827460;15862699533
21.5.2019;0.398209;0.397603;1811582122;16745727273
20.5.2019;0.417456;0.398003;2258366889;16762548744
19.5.2019;0.372647;0.417700;2803922255;17599092589
18.5.2019;0.388622;0.372736;1866646601;15704580785
17.5.2019;0.419676;0.386193;3644156225;16271598326
16.5.2019;0.455692;0.419707;4730708975;17683635997
15.5.2019;0.408673;0.456005;4535603094;19212993088
14.5.2019;0.325111;0.409062;5834207845;17235125077
13.5.2019;0.310118;0.325475;1973949373;13713341569
12.5.2019;0.324265;0.310074;2000224167;13064438400
11.5.2019;0.300312;0.324543;2226303541;13674087917
10.5.2019;0.296523;0.300387;1057594529;12656310572
9.5.2019;0.300582;0.296509;857521678;12492913760
8.5.2019;0.299022;0.300721;927526280;12670380604
7.5.2019;0.302092;0.299684;1082385112;12626698623
6.5.2019;0.302275;0.302389;1048970512;12726677734
5.5.2019;0.304628;0.302342;805245812;12724692457
4.5.2019;0.308173;0.304552;1162919063;12817676080
3.5.2019;0.303232;0.308222;1221399046;12972165512
2.5.2019;0.304735;0.303239;890538619;12737560179
1.5.2019;0.309490;0.304696;914654614;12798744397
30.4.2019;0.294320;0.309476;1229331267;12999538690
29.4.2019;0.297422;0.294289;890911784;12361611828
28.4.2019;0.296865;0.297426;721572911;12493351058
27.4.2019;0.298541;0.296741;785963315;12464603664
